product_name,price,rating,promo,sold,seller,location,link_image
Core i7 i5 Gamer All In One Gaming PC AIO  Computers Laptops Desktop Computer,Rp4.500.000,5.0,-,5 terjual,Smart Tech Indonesia ID,Jakarta Barat,https://images.tokopedia.net/img/cache/200-square/VqbcmM/2024/6/16/71197067-b8d9-48ee-a9ee-2d449d211313.png
Laptop Gaming Asus Vivobook S 14X S5402ZA Intel Core EVO i7 12700H Ram 16GB 2TB 2.8K OLED Win 11 Original Termurah,Rp10.699.000,no rating,-,-,MAXIMAL ID JAKARTA,Jakarta Selatan,https://images.tokopedia.net/img/cache/200-square/VqbcmM/2024/1/16/f4f7f785-8114-4930-a1cf-40bd9b2804ee.jpg
LAPTOP GAMING ASUS VIVOBOOK 16 F1605ZA INTEL CORE I7 1255U 16GB 1TB 16 INCH WUXGA IPS WINDOWS 11 HOME,Rp9.399.000,no rating,Diskon 100rb,-,Laptop Legends ID,Depok,https://images.tokopedia.net/img/cache/200-square/VqbcmM/2024/9/9/8462d855-cedd-4773-92ab-923dd1067971.jpg
LAPTOP GAMING MSI KATANA 15 B13VFK INTEL CORE I7 13620H 32GB DDR5 1TB SSD RTX4060 8GB 15.6 FHD IPS 144HZ 4ZRGB WIN11,Rp16.799.000,no rating,Diskon 100rb,-,Laptop Legends ID,Depok,https://images.tokopedia.net/img/cache/200-square/VqbcmM/2024/9/6/9d37ac6e-6300-4b34-96c8-edabc458a15b.jpg
"Baru Prosesor Intel Generasi core i9 Laptop Terbaru untuk Gaming dan Kerja di Rumah 15.6 Inci,  Memori DDR4 16GB RAM, SSD M.2 1TB, i7",Rp7.699.999,5.0,Diskon 200rb,1 terjual,HUAV_PC,Tangerang,https://images.tokopedia.net/img/cache/200-square/VqbcmM/2024/8/28/c93aaf2e-71a2-4905-91eb-99391eb0a96b.jpg
Laptop Gaming/Editing HP Elitebook 840 G5 Core i7-Gen8 (Dual VGA)MULUS,Rp1.925.000,4.7,Cashback 35rb,100+ terjual,Dacia Jaya Computer,Bandung,https://images.tokopedia.net/img/cache/200-square/VqbcmM/2023/7/4/65911cce-a9c3-4e89-bb7a-c7b08231b585.png
Laptop Gaming Lenovo Thinkpad T470P Core i7 RAM 32GB SSD 512 Nvidia,Rp4.499.000,5.0,-,80+ terjual,Specialist Laptop Second,Jakarta Barat,https://images.tokopedia.net/img/cache/200-square/VqbcmM/2023/9/13/037a378d-b91a-48ba-ba47-37c132d85349.jpg
LAPTOP GAMING LENOVO THINKPAD T480 CORE i7 GEN 8TH/DUAL VGA/16GB/512GB,Rp3.850.000,4.9,-,9 terjual,Computer Murah 2021,Jakarta Pusat,https://images.tokopedia.net/img/cache/200-square/VqbcmM/2023/9/19/3ae27d5f-7401-41bf-bf38-80e8e18c071b.jpg
LAPTOP GAMING MSI THIN CORE i7 GEN 13 RAM 16GB SSD 1TB RTX2050 14 INCH FHD IPS BACKLIGHT WIN 11 ORI,Rp10.399.000,5.0,-,6 terjual,Gadget LAPTOP.ID,Jakarta Pusat,https://images.tokopedia.net/img/cache/200-square/VqbcmM/2024/8/13/cc5584cd-b5ab-4c82-8b03-cf4fc88b69cc.png
"Laptop gaming Razer Blade 14"" core i7 GTX 765M 2013 second original",Rp5.000.000,5.0,-,9 terjual,CHOCO GADGET,Bandung,https://images.tokopedia.net/img/cache/200-square/VqbcmM/2023/5/15/e1bb3c6e-286f-4ccb-8d76-d0884d5029c1.jpg
LENOVO LEGION PRO 5 16IAH7H RHID RTX3070Ti 8GB Intel Core i7-12700H 1TB SSD 16GB RAM Gaming Notebook Laptop,Rp24.325.000,no rating,-,-,Galaxy Solusindo,Malang,https://images.tokopedia.net/img/cache/200-square/VqbcmM/2024/5/13/49518325-0a5f-4270-8d5d-eb31c736be27.jpg
LAPTOP ASUS TUF GAMING F15 FX507VU4 CORE I7 13620H/16GB/512GB/RTX4050 6GB/15.6”/W11+OHS,Rp18.750.000,no rating,-,-,heroK,Medan,https://images.tokopedia.net/img/cache/200-square/VqbcmM/2024/7/31/100e9210-9ee2-4682-b694-41b37921d102.png
